ID,Nhóm,Điểm tổng,Điểm tối đa,Điểm quy đổi,unittest,statements about dict,binary mode,Inheritance three levels,lt operator,person print,add,copy list,dict sort,high order lambda,inher init,lambda sum,lambda vector,list mutation,lambda module,max sub,recursive,eq overload,try block,Multiple Choice,tuple vs list,string operations,module contents,package contents,Primes,Sequence,Matrix,BankAccount,testing approaches,unittest,dict access,dict def,dict for keys,else part,except statements,exception object,finally block,handling keyword,IOError,multiple exception,standard exception,inf try except,close file,dump,open mode,pickle,default params,function call,local scope,debug,syntax,list append,list count,list def,module,module extension,package caller,package is a dir,same module name,import statement,digit counter,lower counter,upper counter,replace str,breakline,str convertion,str mulp,string funcs,str len,for loop,while break,while break (copy),list comp,list expansion,list number comp,list str comp,ABC module,abstract keyword,class method,inher init,object,object init,add overload,equal overload,less operator,inheritance,inheritance (copy),inheritance (copy) (copy),inhe init,inhe init (copy),inhe init (copy) (copy),loop str,loop str (copy),loop str (copy) (copy)
341,Teacher,Chưa làm,0,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
1163,Kíp 1,27,90,30,0,1,0,1,1,1,0,0,Chưa làm,1,0,0,1,0,1,0,1,1,0,0,0,Chưa làm,0.5,0,2.5,Chưa làm,Chưa làm,Chưa làm,1,Không có,0,Không có,1,Không có,1,Không có,0,Không có,Không có,Không có,Không có,0,Không có,0,0,Không có,1,Không có,Không có,Không có,0,Không có,Không có,1,Không có,1,Không có,1,Không có,1,Không có,1,Không có,1,1,Không có,Không có,Không có,Không có,Không có,Không có,1,1,Không có,Không có,1,0,Không có,0,Không có,Không có,Không có,Không có,0,Không có,0,Không có,Không có,Không có,0,Không có,Không có,Không có,1
12024,Default Group,10,90,11.11,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,10,0,0,0,Không có,Chưa làm,Chưa làm,Không có,Chưa làm,Không có,Không có,Không có,Không có,Chưa làm,Chưa làm,Không có,Không có,Chưa làm,Chưa làm,Chưa làm,Không có,Không có,Chưa làm,Không có,Không có,Không có,Chưa làm,Chưa làm,Không có,Không có,Không có,Không có,Chưa làm,Chưa làm,Không có,Chưa làm,Không có,Chưa làm,Không có,Chưa làm,Không có,Không có,Không có,Không có,Chưa làm,Chưa làm,Không có,Không có,Chưa làm,Không có,Không có,Chưa làm,Chưa làm,Không có,Chưa làm,Không có,Không có,Không có,Chưa làm,Không có,Không có,Chưa làm,Không có,Không có,Không có,Chưa làm,Không có,Chưa làm,Không có,Không có
12506,Kíp 1,31,90,34.44,1,0.25,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0.5,0.25,0,Chưa làm,Chưa làm,Chưa làm,Không có,0,0,Không có,0,Không có,Không có,1,Không có,Không có,1,Không có,Không có,0,0,1,Không có,Không có,Không có,1,Không có,Không có,1,1,Không có,Không có,1,1,1,Không có,Không có,Không có,0,Không có,Không có,1,Không có,Không có,Không có,0,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có,1,1,Không có,Không có,Không có,Không có,1,Không có,Không có,1,Không có,0,Không có,Không có,Không có,Không có,0
12536,Kíp 1,49.17,90,54.63,0,1,1,1,1,1,1,0,Chưa làm,1,1,0,1,1,1,Chưa làm,1,1,1,0,0,0,1,0.5,10,6.67,0,0,1,Không có,0,Không có,1,Không có,1,Không có,Không có,Không có,1,Không có,Không có,0,Không có,0,0,Không có,Không có,1,Không có,Không có,1,Không có,Không có,1,Không có,Không có,1,0,1,Không có,Không có,Không có,1,1,Không có,1,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,1,1,1,Không có,0,Không có,Không có,Không có,Không có,Không có,0,Không có,0,Không có,Không có,1,Không có,1,Không có,Không có
12632,Kíp 1,43.33,90,48.14,1,1,0,0,1,1,1,0,Chưa làm,1,1,0,1,1,1,0,1,1,1,0,0,0,0.5,0,10,3.3299999999999996,0,0,0.5,Không có,Không có,1,0,0,Không có,Không có,Không có,1,Không có,Không có,Không có,0,Không có,Không có,0,1,Không có,Không có,0,1,Không có,Không có,0,Không có,1,1,Không có,Không có,Không có,0,1,Không có,Không có,0,Không có,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,1,1,Không có,1,Không có,Không có,1,Không có,Không có,1,Không có,1,Không có,Không có,0,Không có,Không có,Không có,Không có,1
38359,Kíp 1,27.25,90,30.28,1,0.25,1,1,0,1,1,1,1,1,Chưa làm,0,1,1,Chưa làm,Chưa làm,1,1,0,0,0,1,0,0,0,Chưa làm,Chưa làm,Chưa làm,Không có,1,0,Không có,1,Không có,Không có,Không có,Không có,Không có,0,Không có,0,0,Không có,Không có,1,0,1,Không có,Không có,1,Không có,Không có,Không có,1,1,Không có,0,Không có,1,Không có,0,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,1,Không có,1,1,Không có,Không có,0,Không có,Không có,0,Không có,Không có,Không có,0,Không có,Không có,Không có,0,0,Không có,Không có,Không có,1,Không có
38360,Kíp 1,40,90,44.44,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,Chưa làm,0.5,0,2.5,0,0,Chưa làm,1,Không có,1,1,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,0,1,Không có,1,1,Không có,Không có,Không có,1,Không có,1,Không có,Không có,1,1,Không có,Không có,1,1,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,1,1,Không có,1,Không có,Không có,1,1,Không có,Không có,Không có,Không có,1,Không có,1,Không có,Không có,0,Không có,Không có,Không có,Không có,1
38361,Kíp 1,53,90,58.89,0,0.5,1,1,1,1,1,1,1,1,1,1,1,0,Chưa làm,Chưa làm,1,1,1,0,Chưa làm,Chưa làm,1,0,10,10,Chưa làm,Chưa làm,0.5,Không có,Không có,1,0,Không có,Không có,Không có,Không có,1,Không có,1,Không có,0,Không có,Không có,0,1,Không có,Không có,1,1,Không có,1,Không có,Không có,1,Không có,Không có,0,0,Không có,Không có,Không có,1,1,Không có,Không có,Không có,0,Không có,Không có,Không có,1,1,Không có,1,Không có,1,Không có,Không có,Không có,Không có,1,1,Không có,Không có,Không có,Không có,0,0,Không có,Không có,Không có,Không có,1
38362,Kíp 1,Chưa làm,40,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
