ID,Nhóm,Điểm tổng,Điểm tối đa,Điểm quy đổi,Đếm số cách phân hoạch 1 cây thành 2 cây rời nhau,"Đếm số cách phân hoạch tập 1, 2, ..., n thành k tập con",Đếm số cây khung của đồ thị khuyên,Đếm số phương án giao hàng từ kho trung tâm (lớn - khó - dùng truy hồi),Đếm số phương án vận chuyển đón-trả,"Đếm số hoán vị của 1, 2, ..., n với ràng buộc về thứ tự",Cho ma trận tìm đồ thị,Tồn tại đồ thị,bậc vô hướng,DFS,xac định đỉnh,Đường đi 1,Đường đi 1,Số lượng đường đi đơn trong đồ thị đầy đủ (2),Insert edge,Thuật toán Kruskal,Tính luồng cực đại,Lát cắt cực tiểu,Ly thuyet,Câu hỏi 2,Prim A,Câu hỏi 2,Tính trọng số của cây khung,Tồn tại cây khung,Câu hỏi 1,Câu hỏi 1,Chia kẹo khó - instance 1,Đúng sai về Cây,Câu hỏi 1,Câu hỏi 2,Câu hỏi 1,Câu 1,Nhận diện topology,"Số lượng dãy tăng, giảm (4)",Permutation 2,"Số lượng lựa chọn lớp trưởng, bí thư (2)",Đếm số cách phân hoạch 1 cây thành 2 cây con có số cạnh cho trước,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Giảm cận,Giảm cận,Giảm cận,Giảm cận,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát
768,Nhóm 1 - kíp 3,Chưa làm,0,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
779,Nhóm 1 - kíp 3,13,41,31.71,0,0,0,0,0,0,1,0,1,1,0,1,0,Chưa làm,0,1,Chưa làm,Chưa làm,0,Chưa làm,Chưa làm,Chưa làm,Chưa làm,0,Chưa làm,0,Chưa làm,1,0,0,0,1,1,1,1,1,0,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có
833,Nhóm 1 - kíp 3,9,41,21.95,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,Chưa làm,0,Chưa làm,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,0,Không có,Không có,Không có,Không có
12650,Nhóm 1 - kíp 3,Chưa làm,0,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
20588,Nhóm 1 - kíp 3,22,41,53.66,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,Chưa làm,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,0,Không có,Không có,Không có,0,Không có
21491,Nhóm 1 - kíp 3,16,41,39.02,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,Chưa làm,2,Chưa làm,0,1,Chưa làm,Chưa làm,Chưa làm,0,0,0,Chưa làm,1,0,1,0,0,1,1,1,1,0,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21590,Nhóm 1 - kíp 3,17,41,41.46,0,0,0,0,0,0,1,0,1,1,Chưa làm,0,1,1,Chưa làm,1,2,0,1,0,1,Chưa làm,0,0,0,1,Chưa làm,1,1,0,0,Chưa làm,1,Chưa làm,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có
21591,Nhóm 1 - kíp 3,19,41,46.34,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,2,Chưa làm,1,1,0,1,0,0,Chưa làm,1,Chưa làm,1,1,1,Chưa làm,0,1,0,1,1,0,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có
21592,Nhóm 1 - kíp 3,28,41,68.29,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,2,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21593,Nhóm 1 - kíp 3,20,41,48.78,0,Chưa làm,0,0,0,0,1,0,1,1,0,0,1,1,1,Chưa làm,2,Chưa làm,1,1,1,0,Chưa làm,0,Chưa làm,1,0,1,0,Chưa làm,1,1,1,Chưa làm,1,1,0,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có
